Date,AAPL,MSFT,GOOG,NVDA,ORCL,INTC,AMD,AMZN,CSCO,ADBE,QCOM,IBM,Tech,Total Portfolio
2005-05-02,22790.105575373207,18858.3089560932,22857.584598551042,19448.113023082406,17764.16847208648,20905.569407285417,14171.20271502266,15709.538519195523,18599.141262736626,19034.7024489303,16672.765150620304,15854.383894871906,222665.5840238491,222665.5840238491
2005-05-03,22652.483159981857,18955.464230348418,23258.612031756413,19341.308747782878,17748.8501858547,21154.127040373423,14210.787043241417,15761.74618799038,18653.01008832362,19081.331436749017,16492.0024113948,15846.089247218497,223155.81181101542,223155.81181101542
2005-05-04,23240.54040520675,18843.356730164756,23496.144642989602,19955.458532740413,17947.93272572147,21474.769451885975,14527.4626127563,16117.701599758027,19019.391510991783,19167.927946905973,16958.16894987956,15972.50130385793,226721.35641285856,226721.35641285856
2005-05-05,22946.499326498924,18858.3089560932,23339.845070762392,20347.130406368975,17856.039562674705,21608.374105288836,14586.838633202024,16117.701599758027,19396.551827767853,18958.096231177118,16725.08203496289,15645.092607145061,226385.56036170002,226385.56036170002
2005-05-06,23296.834482657257,18850.82766217751,23446.786778813,20623.01566955156,18009.18747693313,21813.24041160945,14745.17594607705,16383.482289302545,19418.104807555068,19217.88830273724,16924.87519398633,15636.787012558476,228366.20603395865,228366.20603395865
2005-05-09,23127.914882019606,18768.61217956722,23241.133314393588,21005.826872789938,17993.872869444443,22089.350857539153,14893.617884721014,16440.435698331603,19622.834874795335,19540.961120000335,17143.685648380255,15578.604062719669,229446.8502647022,229446.8502647022
2005-05-10,22783.850124274468,18611.64800159822,23424.164341649048,20186.91356501199,17641.662648406247,21973.564536250502,14913.409576947979,16245.846770073409,19622.834874795335,19157.93638395757,16929.63352807067,15229.547023724344,226721.0113747598,226721.0113747598
2005-05-11,22277.12869064764,18619.11686123039,23783.033132407192,19848.64556710115,17917.305350115636,22062.641602397685,14933.20221293977,16051.256710260564,19989.22911993976,19294.493249945794,17196.014198880574,15225.402827592838,227197.469523459,227197.469523459
2005-05-12,21351.26462999542,18686.392552195757,23518.769066145756,20284.858907989284,18208.27553491454,22124.9846028828,15141.020172029452,16065.495062517828,20150.859638843736,19244.532894114527,16977.19791140778,15088.265904134576,226841.91687717146,226841.91687717146
2005-05-13,21751.64588616275,18910.624131607776,23572.235948186655,22545.579528340495,18928.023460080436,22374.3901719982,15319.149177131445,16089.226026798156,20355.602528560266,19351.113800712916,16791.681212907086,15200.46727766192,231189.7391501481,231189.7391501481
2005-05-16,22239.59847527428,19113.07913582144,23758.357179307193,22625.683603849127,18912.70333447711,22561.42355178072,15507.175443994161,16392.974901325604,20571.113092717966,19953.96308597756,16810.707257895872,15445.633229259272,233892.41229168035,233892.41229168035
